year_sbpro,inst_norm,nbc_norm,crossed_n,inst_name,is_unimagdalena,point_type,point_label,sb11_global_mean,sbpro_global_mean
2020,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR-CARTAGENA,,47,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR-CARTAGENA,false,other_university,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR-CARTAGENA,271.02127659574467,136.2340425531915
2020,UNIVERSIDAD ANTONIO NARINO-BOGOTA D.C.,,752,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,false,other_university,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,271.20212765957444,145.1409574468085
2020,UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTA D.C.,,159,UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTÁ D.C.,false,other_university,UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTÁ D.C.,271.39622641509436,147.43396226415095
2020,UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,,209,UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,false,other_university,UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,271.51674641148327,150.38755980861245
2020,UNIVERSIDAD DEL PACIFICO-BUENAVENTURA,,42,UNIVERSIDAD DEL PACIFICO-BUENAVENTURA,false,other_university,UNIVERSIDAD DEL PACIFICO-BUENAVENTURA,272.0238095238095,142.0
2020,UNIVERSIDAD DE CORDOBA-MONTERIA,,1054,UNIVERSIDAD DE CORDOBA-MONTERIA,false,other_university,UNIVERSIDAD DE CORDOBA-MONTERIA,272.65180265654647,142.87286527514232
2020,UNIVERSIDAD DE PAMPLONA-PAMPLONA,,1385,UNIVERSIDAD DE PAMPLONA-PAMPLONA,false,other_university,UNIVERSIDAD DE PAMPLONA-PAMPLONA,273.0750902527076,145.5321299638989
2020,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,,686,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,false,other_university,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,273.25801749271136,147.932944606414
2020,POLITECNICO GRANCOLOMBIANO-BOGOTA D.C.,,1622,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,false,other_university,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,273.9469790382244,143.72503082614057
2020,FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTA D.C.,,416,FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,false,other_university,FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,274.1418269230769,150.22596153846155
2020,UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,,174,UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,false,other_university,UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,274.52298850574715,146.48850574712642
2020,UNIVERSIDAD DEL TOLIMA-IBAGUE,,486,UNIVERSIDAD DEL TOLIMA-IBAGUE,false,other_university,UNIVERSIDAD DEL TOLIMA-IBAGUE,274.52880658436214,148.38888888888889
2020,FUNDACION UNIVERSITARIA DEL AREA ANDINA-PEREIRA,,415,FUNDACION UNIVERSITARIA DEL AREA ANDINA-PEREIRA,false,other_university,FUNDACION UNIVERSITARIA DEL AREA ANDINA-PEREIRA,274.5373493975904,142.83855421686746
2020,INSTITUCION UNIVERSITARIA LATINA - UNILATINA-BOGOTA D.C.,,29,INSTITUCION UNIVERSITARIA LATINA - UNILATINA-BOGOTÁ D.C.,false,other_university,INSTITUCION UNIVERSITARIA LATINA - UNILATINA-BOGOTÁ D.C.,274.6896551724138,154.58620689655172
2020,CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -UDI-BUCARAMANGA,,387,CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -UDI-BUCARAMANGA,false,other_university,CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -UDI-BUCARAMANGA,275.67700258397934,145.9405684754522
2020,FUNDACION UNIVERSITARIA ESUMER-MEDELLIN,,139,FUNDACION UNIVERSITARIA ESUMER-MEDELLIN,false,other_university,FUNDACION UNIVERSITARIA ESUMER-MEDELLIN,276.2517985611511,146.4892086330935
2020,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BUCARAMANGA,,197,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BUCARAMANGA,false,other_university,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BUCARAMANGA,276.51269035532994,144.41116751269035
2020,"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",,732,"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",false,other_university,"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA",276.8087431693989,148.98497267759564
2020,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS-MEDELLIN,,140,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS-MEDELLIN,false,other_university,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS-MEDELLIN,276.9357142857143,144.95
2020,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU-BOGOTA D.C.,,60,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU-BOGOTÁ D.C.,false,other_university,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU-BOGOTÁ D.C.,276.98333333333335,145.81666666666666
2020,UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,,424,UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,false,other_university,UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,276.9858490566038,151.54245283018867
2020,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTA D.C.,,595,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTÁ D.C.,false,other_university,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTÁ D.C.,277.14285714285717,150.10420168067228
